,Слово,Частота
0,у,701
1,на,638
2,в,545
3,та,501
4,що,500
5,з,483
6,і,479
7,не,472
8,до,389
9,за,284
10,це,265
11,для,249
12,про,237
13,а,214
14,як,166
15,року,151
16,від,148
17,але,139
18,є,139
19,ми,107
20,україни,105
21,єс,101
22,які,100
23,його,97
24,чи,93
25,він,93
26,також,87
27,тому,84
28,може,81
29,лише,79
30,2022,79
31,й,78
32,те,77
33,україні,77
34,цього,74
35,році,70
36,який,70
37,після,70
38,adsbygoogle,68
39,навіть,68
40,цей,68
41,коли,67
42,того,65
43,війни,65
44,через,64
45,було,64
46,їх,63
47,вже,62
48,вони,62
49,яка,61
50,має,61
51,сша,60
52,якщо,60
53,ще,59
54,буде,58
55,щоб,58
56,рф,58
57,час,58
58,із,57
59,щодо,57
60,так,57
61,активів,55
62,росії,54
63,її,53
64,вона,53
65,під,52
66,дол,52
67,зараз,52
68,я,51
69,грн,50
70,компанії,48
71,де,47
72,n,47
73,млрд,44
74,саме,43
75,україна,43
76,млн,43
77,рішення,43
78,більше,42
79,то,42
80,можуть,41
81,ринку,40
82,по,40
83,була,39
84,російських,38
85,був,37
86,можна,37
87,однак,36
88,або,36
89,курсу,35
90,xa0,35
91,хто,35
92,бути,35
93,ця,35
94,мають,34
95,2023,34
96,каже,34
97,питання,34
98,window,34
99,росія,34
100,нато,34
101,дуже,34
102,push,34
103,хоча,34
104,об,33
105,без,33
106,треба,32
107,країн,32
108,тоді,32
109,конфіскації,32
110,проти,32
111,ціни,31
112,багато,31
113,вибори,31
114,ж,31
115,протез,30
116,ці,30
117,1,30
118,країни,30
119,початку,30
120,понад,29
121,проте,29
122,над,29
123,тільки,29
124,курс,28
125,тим,28
126,все,28
127,країні,28
128,там,28
129,б,27
130,були,27
131,нбу,27
132,2,27
133,раніше,27
134,них,27
135,років,27
136,партії,26
137,наразі,26
138,цієї,26
139,інших,26
140,рік,26
141,5,26
142,стала,25
143,бо,25
144,майже,25
145,долара,25
146,попри,25
147,адже,25
148,досі,25
149,опозиції,25
150,тис,25
151,президента,25
152,землі,24
153,виборів,24
154,держави,24
155,30,24
156,влади,24
157,валюти,24
158,уряд,23
159,цю,23
160,людей,23
161,роки,23
162,один,23
163,яких,22
164,яку,22
165,ви,22
166,всі,22
167,наприклад,22
168,близько,22
169,будь,21
170,немає,21
171,цьому,21
172,еп,21
173,молдови,21
174,пов,21
175,більш,21
176,якого,21
177,зі,21
178,кілька,21
179,цій,20
180,соколовський,20
181,soe,20
182,україну,20
