,Слово,Частота
0,україни,105
1,єс,101
2,україні,77
3,війни,65
4,має,61
5,сша,60
6,рф,58
7,активів,55
8,росії,54
9,дол,52
10,грн,50
11,компанії,48
12,млрд,44
13,україна,43
14,рішення,43
15,млн,43
16,ринку,40
17,російських,38
18,курсу,35
19,нато,34
20,росія,34
21,питання,34
22,мають,34
23,конфіскації,32
24,країн,32
25,вибори,31
26,ціни,31
27,країни,30
28,протез,30
29,курс,28
30,країні,28
31,нбу,27
32,партії,26
33,наразі,26
34,опозиції,25
35,президента,25
36,долара,25
37,стала,25
38,влади,24
39,держави,24
40,землі,24
41,виборів,24
42,валюти,24
43,уряд,23
44,роки,23
45,людей,23
46,наприклад,22
47,молдови,21
48,пов,21
49,членів,20
50,гагаузії,20
51,ситуація,20
52,партія,20
53,зокрема,20
54,соколовський,20
55,україну,20
56,чорногорії,20
57,нових,19
58,росією,19
59,словами,19
60,виборах,19
61,військових,19
62,активи,19
63,10,19
64,групи,18
65,змі,18
66,ринок,18
67,кількість,18
68,50,18
69,інтернет,18
70,разом,18
71,можливість,17
72,болгарії,17
73,дій,17
74,участь,17
75,підтримку,17
76,йдеться,17
77,даними,17
78,проблеми,17
79,польщі,17
80,євро,17
81,компаній,17
82,війна,17
83,дрони,16
84,розширення,16
85,роботу,16
86,одночасно,16
87,процес,16
88,сфері,16
89,стало,16
90,санкцій,16
91,європейського,16
92,боку,16
93,протезування,16
94,влада,16
95,торгівлі,16
96,президент,16
97,більшість,16
98,кандидат,15
99,постачання,15
100,зв,15
101,суттєво,15
102,долар,15
103,вдалося,15
104,15,15
105,європейської,15
106,російської,15
107,сили,15
108,союзу,15
109,роботи,15
110,зможе,15
111,угод,15
112,вучич,15
113,російського,15
114,esper,14
115,текстиль,14
116,можливо,14
117,лютого,14
118,євросоюзу,14
119,києва,14
120,бізнес,14
121,прем,14
122,інтернету,14
123,стати,14
124,останні,14
125,бондар,14
126,компанія,14
127,війну,14
128,знайти,14
129,фронт,14
130,великої,14
131,ціна,14
132,тканин,14
133,сербії,14
134,заходу,14
